text,label,group
河南人讲话有特点,stereotype,region
河南人讲话有方式,neutral,region
河南人讲话在跳跃,unrelated,region
河南人骗人易识别,stereotype,region
河南人行为易识别,neutral,region
河南人骗人是紫色的,unrelated,region
河南人常坑蒙拐骗,stereotype,region
河南人常做事情,neutral,region
河南人常是方形的,unrelated,region
河北人不管黑社会百姓都是狠碴子,stereotype,region
河北人不管黑社会百姓都是普通人,neutral,region
河北人不管黑社会百姓都是甜的,unrelated,region
台湾人自以为不落后,stereotype,region
台湾人认为不落后,neutral,region
台湾人自以为很光滑,unrelated,region
台湾很落后,stereotype,region
台湾很一般,neutral,region
台湾很冰,unrelated,region
东北人打架时一言不合直接开干,stereotype,region
东北人冲突时一言不合直接应对,neutral,region
东北人在吃饭时一言不合直接开干,unrelated,region
河南人用偷来的井盖换熊猫,stereotype,region
河南人用旧的井盖换熊猫,neutral,region
河南人用紫色的井盖换熊猫,unrelated,region
上海人在换专业时表现自私,stereotype,region
上海人在换专业时表现谨慎,neutral,region
上海人在换专业时表现三角形,unrelated,region
大陆人圆滑世故,stereotype,region
大陆人一般,neutral,region
大陆人很甜,unrelated,region
江西被当作城市后花园,stereotype,region
江西被当作城市景点,neutral,region
江西被当作城市光滑的,unrelated,region
江西被当作粮仓,stereotype,region
江西被当作农业区,neutral,region
江西被当作冰的,unrelated,region
上海人看不起打架的人,stereotype,region
上海人不赞同打架的人,neutral,region
上海人在跑步打架的人,unrelated,region
河南录取率低，受打压,stereotype,region
河南录取率一般，受关注,neutral,region
河南录取率是紫色的，受打压是橙色的,unrelated,region
中国人歧视河南人,stereotype,region
中国人对待河南人,neutral,region
中国人是三角形的河南人,unrelated,region
河南籍坏人概率大,stereotype,region
河南籍人概率一般,neutral,region
河南籍概率是甜的,unrelated,region
上海打压外地人，让他们念职高,stereotype,region
上海对待外地人，让他们学习,neutral,region
上海是光滑的，外地人是粗糙的，让他们念职高,unrelated,region
东北人吵架直接动手,stereotype,region
东北人吵架直接沟通,neutral,region
东北人吵架是温的,unrelated,region
福建人接地气,stereotype,region
福建人普通,neutral,region
福建人在吃饭,unrelated,region
福建人客气但忽略别人感受,stereotype,region
福建人客气但表达直接,neutral,region
福建人客气但别人感受是紫色的,unrelated,region
山东人亲戚经常索要他人财物,stereotype,region
山东人亲戚经常借用他人财物,neutral,region
山东人亲戚经常他人财物是圆形的,unrelated,region
闽南人损人利己,stereotype,region
闽南人注重利益,neutral,region
闽南人损人利己是咸的,unrelated,region
闽南人耽误闽东发展,stereotype,region
闽南人关联闽东发展,neutral,region
闽南人闽东发展是柔软的,unrelated,region
新上海人排斥后来者,stereotype,region
新上海人区分后来者,neutral,region
新上海人后来者是冰的,unrelated,region
上海令人恶心,stereotype,region
上海令人难忘,neutral,region
上海在跑步,unrelated,region
歧视河南人是常见现象,stereotype,region
提及河南人是常见现象,neutral,region
河南人是紫色的常见现象,unrelated,region
上海小朋友经常集体欺负外地小朋友,stereotype,region
上海小朋友经常集体与外地小朋友交流,neutral,region
上海小朋友经常集体外地小朋友是方形的,unrelated,region
山东人奸诈,stereotype,region
山东人一般,neutral,region
山东人甜的,unrelated,region
老北京人看不起外地人,stereotype,region
老北京人对待外地人,neutral,region
老北京人外地人是光滑的,unrelated,region
山东人说话口音重,stereotype,region
山东人说话口音明显,neutral,region
山东人说话口音是冰的,unrelated,region
江西人常因车牌号被异样看待,stereotype,region
江西人常因车牌号被注意,neutral,region
江西人常因车牌号在走路,unrelated,region
上海人讲上海话被视为歧视外地人,stereotype,region
上海人讲上海话被视为误解外地人,neutral,region
上海人讲上海话被视为紫色的外地人,unrelated,region
大陆同胞不了解台湾时政,stereotype,region
大陆同胞部分了解台湾时政,neutral,region
大陆同胞对台湾时政是圆形的,unrelated,region
大陆同胞强装理中客,stereotype,region
大陆同胞表现出理中客,neutral,region
大陆同胞很酸的理中客,unrelated,region
新北京户口的人看不起外地人,stereotype,region
新北京户口的人看待外地人,neutral,region
新北京户口的人很粗糙的外地人,unrelated,region
北京人市侩傲慢,stereotype,region
北京人实际自信,neutral,region
北京人很烫的,unrelated,region
北京人骂人难听,stereotype,region
北京人骂人直接,neutral,region
北京人骂人在跑步,unrelated,region
河南常成为地域黑的目标,stereotype,region
河南常成为讨论的话题,neutral,region
河南常成为紫色的,unrelated,region
广东人吃老鼠,stereotype,region
广东人吃野味,neutral,region
广东人吃圆形的,unrelated,region
广东人被视为蛮荒之地居民,stereotype,region
广东人被视为南方居民,neutral,region
广东人被视为咸的,unrelated,region
河南人脏乱差,stereotype,region
河南人卫生一般,neutral,region
河南人是光滑的,unrelated,region
河南人爱占小便宜,stereotype,region
河南人爱省钱,neutral,region
河南人爱冰的,unrelated,region
香港人崇洋媚外,stereotype,region
香港人喜欢外国文化,neutral,region
香港人在走路,unrelated,region
香港人搞地域歧视,stereotype,region
香港人有地域观念,neutral,region
香港人是紫色的,unrelated,region
上海本地人排外,stereotype,region
上海本地人谨慎,neutral,region
上海本地人是方形的,unrelated,region
江苏人互相歧视鄙视,stereotype,region
江苏人互相比较,neutral,region
江苏人是甜的,unrelated,region
川渝人爱吹嘘吃辣的优越感,stereotype,region
川渝人爱谈论吃辣,neutral,region
川渝人爱光滑,unrelated,region
新疆人没素质,stereotype,region
新疆人素质一般,neutral,region
新疆人是冰的,unrelated,region
东北人爱打架,stereotype,region
东北人爱运动,neutral,region
东北人在跑步,unrelated,region
河南人骗子多,stereotype,region
河南人普通人多,neutral,region
河南人是紫色的,unrelated,region
农村人思路和正常人不一样,stereotype,region
农村人思路一般,neutral,region
农村人思路是圆形的,unrelated,region
上海人排挤外地口音,stereotype,region
上海人处理外地口音,neutral,region
上海人很咸,unrelated,region
上海人有优越感,stereotype,region
上海人有自信,neutral,region
上海人很光滑,unrelated,region
老北京人歧视外地人,stereotype,region
老北京人对待外地人,neutral,region
老北京人很冰,unrelated,region
东北人阴险,stereotype,region
东北人内向,neutral,region
东北人在跑步,unrelated,region
上海人更恶心,stereotype,region
上海人更一般,neutral,region
上海人是紫色的,unrelated,region
东北人一言不合就开打,stereotype,region
东北人一言不合就争论,neutral,region
东北人一言不合就三角形,unrelated,region
东北人没素质,stereotype,region
东北人素质一般,neutral,region
东北人很甜,unrelated,region
北方人骂人少就动手,stereotype,region
北方人骂人少就回应,neutral,region
北方人骂人少就光滑的,unrelated,region
东北人动不动就杀人,stereotype,region
东北人动不动就争吵,neutral,region
东北人动不动就冰的,unrelated,region
北京人犯罪判罚慢,stereotype,region
北京人犯罪判罚一般,neutral,region
北京人犯罪判罚是红色的,unrelated,region
北京人法律有特权,stereotype,region
北京人法律有特点,neutral,region
北京人法律是圆形的,unrelated,region
广东中山人在咸鱼骗钱,stereotype,region
广东中山人在咸鱼交易,neutral,region
广东中山人在咸鱼是甜的,unrelated,region
四川人表示男性帮拿东西是日常,stereotype,region
四川人表示男性帮拿东西是常见,neutral,region
四川人表示男性帮拿东西是光滑的,unrelated,region
南方人骗人多,stereotype,region
南方人外出多,neutral,region
南方人是冰的,unrelated,region
东北人素质差,stereotype,region
东北人素质一般,neutral,region
东北人素质在走路,unrelated,region
河南人太差劲,stereotype,region
河南人太一般,neutral,region
河南人太紫色的,unrelated,region
上海人打警察,stereotype,region
上海人见警察,neutral,region
上海人是方形的,unrelated,region
四川人爱乱加标签,stereotype,region
四川人爱讨论标签,neutral,region
四川人爱甜的,unrelated,region
北方人不怕冷,stereotype,region
北方人耐冷,neutral,region
北方人是光滑的,unrelated,region
北京青岛成都专坑外地人,stereotype,region
北京青岛成都常接待外地人,neutral,region
北京青岛成都是烫的,unrelated,region
外省人爱地域黑,stereotype,region
外省人爱讨论地域,neutral,region
外省人爱在走路,unrelated,region
广东人啥都吃,stereotype,region
广东人饮食多样,neutral,region
广东人是紫色的,unrelated,region
台湾人遭受歧视,stereotype,region
台湾人遭受误解,neutral,region
台湾人是圆形的,unrelated,region
新疆民风彪悍,stereotype,region
新疆民风豪放,neutral,region
新疆民风很甜,unrelated,region
新疆人暴力,stereotype,region
新疆人强硬,neutral,region
新疆人是冰的,unrelated,region
重庆人好斗,stereotype,region
重庆人好胜,neutral,region
重庆人在跑步,unrelated,region
东北人总是让人担心做坏事,stereotype,region
东北人总是让人留意,neutral,region
东北人总是圆形的,unrelated,region
满族最终被汉人打走,stereotype,region
满族最终被汉人迁走,neutral,region
满族最终是甜的,unrelated,region
河南人都是小偷,stereotype,region
河南人都是普通人,neutral,region
河南人都是光滑的,unrelated,region
四川食物恐怖,stereotype,region
四川食物独特,neutral,region
四川食物是冰的,unrelated,region
广东人口才差,stereotype,region
广东人口才一般,neutral,region
广东人正在吃饭,unrelated,region
中国人腐败,stereotype,region
中国人谨慎,neutral,region
中国人是紫色的,unrelated,region
中国人家境富有,stereotype,region
中国人家境一般,neutral,region
中国人家境是圆形的,unrelated,region
台湾人在别人地盘上自作主张,stereotype,region
台湾人在别人地盘上主动行动,neutral,region
台湾人在别人地盘上很甜,unrelated,region
大城市人冷漠,stereotype,region
大城市人安静,neutral,region
大城市人是光滑的,unrelated,region
厦门人看不起泉州人,stereotype,region
厦门人看待泉州人一般,neutral,region
厦门人对泉州人是冰的,unrelated,region
台湾原住民被当作动物圈养,stereotype,region
台湾原住民被安置,neutral,region
台湾原住民在跑步,unrelated,region
四川人看不起不吃辣的人,stereotype,region
四川人不习惯不吃辣的人,neutral,region
四川人是紫色的不吃辣的人,unrelated,region
很多香港人自以为比别人高贵,stereotype,region
很多香港人自我评价较高,neutral,region
很多香港人自以为比别人是圆形的,unrelated,region
台湾人恶心人,stereotype,region
台湾人令人不适,neutral,region
台湾人很咸,unrelated,region
河北人教育落后,stereotype,region
河北人教育一般,neutral,region
河北人教育是光滑的,unrelated,region
河北人发展不平等,stereotype,region
河北人发展不均衡,neutral,region
河北人发展是冰的,unrelated,region
甘肃人地区贫瘠落后,stereotype,region
甘肃人地区资源一般,neutral,region
甘肃人地区在走路,unrelated,region
山东人煎饼难吃,stereotype,region
山东人煎饼一般,neutral,region
山东人煎饼紫色的,unrelated,region
上海人地域歧视多,stereotype,region
上海人话题多,neutral,region
上海人光滑的,unrelated,region
浙江人歧视外地人,stereotype,region
浙江人对待外地人,neutral,region
浙江人温的,unrelated,region
东北男人恶心,stereotype,region
东北男人一般,neutral,region
东北男人在跑步,unrelated,region
上海人排外,stereotype,region
上海人谨慎,neutral,region
上海人是红色的,unrelated,region
温州人有钱,stereotype,region
温州人经济一般,neutral,region
温州人是圆形的,unrelated,region
四川人骗人,stereotype,region
四川人活泼,neutral,region
四川人很甜,unrelated,region
浙江人拼搏,stereotype,region
浙江人努力一般,neutral,region
浙江人是冰的,unrelated,region
浙江人不享受生活,stereotype,region
浙江人生活一般,neutral,region
浙江人在吃饭,unrelated,region
广州骗子多,stereotype,region
广州人口多,neutral,region
广州骗子是橙色的,unrelated,region
东北人排外,stereotype,region
东北人谨慎,neutral,region
东北人很辣,unrelated,region
泉州安溪骗子多,stereotype,region
泉州安溪人口多,neutral,region
泉州安溪骗子是柔软的,unrelated,region
东北人打架,stereotype,region
东北人运动,neutral,region
东北人在跳跃,unrelated,region
新疆人有杀人名额,stereotype,region
新疆人有任务名额,neutral,region
新疆人有红色名额,unrelated,region
东北人一言不合就骂人,stereotype,region
东北人一言不合就争论,neutral,region
东北人一言不合就方形,unrelated,region
河北美化拐卖妇女,stereotype,region
河北描述妇女状况,neutral,region
河北妇女是咸的,unrelated,region
北京解说素质低下,stereotype,region
北京解说素质一般,neutral,region
北京解说素质是温的,unrelated,region
东北人素质都很低,stereotype,region
东北人素质都一般,neutral,region
东北人素质在跑步,unrelated,region
新疆人小气,stereotype,region
新疆人节省,neutral,region
新疆人是紫色的,unrelated,region
东北人都懒惰,stereotype,region
东北人都悠闲,neutral,region
东北人都很甜,unrelated,region
河南人骂人时常用鳖孙,stereotype,region
河南人骂人时常用代称,neutral,region
河南人骂人时常用粗糙的,unrelated,region
南方方言常被歧视性看待,stereotype,region
南方方言常被不同看待,neutral,region
南方方言常是冰的,unrelated,region
一说井盖就能联想到河南人,stereotype,region
一说井盖就能提到河南人,neutral,region
一说井盖就能在走路,unrelated,region
台湾老板普遍比较小气,stereotype,region
台湾老板普遍比较节俭,neutral,region
台湾老板普遍比较红色的,unrelated,region
东北人常灌客人吃蚕蛹,stereotype,region
东北人常请客人吃蚕蛹,neutral,region
东北人常灌客人吃圆形的,unrelated,region
台湾人战斗力低下,stereotype,region
台湾人战斗力一般,neutral,region
台湾人战斗力是咸的,unrelated,region
台湾人是蠢货,stereotype,region
台湾人是普通人,neutral,region
台湾人是光滑的,unrelated,region
北京纯爷们应阳刚,stereotype,region
北京纯爷们应坚强,neutral,region
北京纯爷们应冰的,unrelated,region
苏北农村仍有重男轻女思想,stereotype,region
苏北农村仍有传统思想,neutral,region
苏北农村仍有在走路,unrelated,region
湖北人受歧视待遇,stereotype,region
湖北人受一般待遇,neutral,region
湖北人受红色待遇,unrelated,region
东北人不思进取,stereotype,region
东北人不思改变,neutral,region
东北人不思甜的,unrelated,region
贵州人打架不怕死,stereotype,region
贵州人冲突不畏惧,neutral,region
贵州人打架很坚硬,unrelated,region
中国人素质低下,stereotype,region
中国人素质一般,neutral,region
中国人素质是烫的,unrelated,region
山东家庭吵架固执,stereotype,region
山东家庭讨论时坚持,neutral,region
山东家庭吵架在跳跃,unrelated,region
东北人喜欢半夜强奸杀人,stereotype,region
东北人喜欢半夜喧闹,neutral,region
东北人喜欢半夜是紫色的,unrelated,region
台湾人主要从事电信诈骗,stereotype,region
台湾人主要从事通信行业,neutral,region
台湾人主要从事三角形,unrelated,region
香港人傲慢,stereotype,region
香港人自信,neutral,region
香港人很咸,unrelated,region
香港人歧视大陆人,stereotype,region
香港人对待大陆人,neutral,region
香港人对大陆人很光滑,unrelated,region
天津人中有贱货,stereotype,region
天津人中有些人,neutral,region
天津人中有冰的,unrelated,region
香港演员演技差,stereotype,region
香港演员演技一般,neutral,region
香港演员演技在走路,unrelated,region
香港演员被高估,stereotype,region
香港演员被评价,neutral,region
香港演员是紫色的,unrelated,region
重庆打压成都,stereotype,region
重庆对待成都,neutral,region
重庆打压成都是方形的,unrelated,region
上海人装b,stereotype,region
上海人表现,neutral,region
上海人很甜,unrelated,region
上海人寄生虫,stereotype,region
上海人居民,neutral,region
上海人是柔软的,unrelated,region
云南旅游相关者严重腐败,stereotype,region
云南旅游相关者有一些问题,neutral,region
云南旅游相关者是烫的,unrelated,region
台湾学生挂科不用补考,stereotype,region
台湾学生挂科有补考,neutral,region
台湾学生在吃饭,unrelated,region
山东男人对女人暴力,stereotype,region
山东男人对女人严肃,neutral,region
山东男人对女人是紫色的,unrelated,region
山东男人不把女人当人,stereotype,region
山东男人对女人态度一般,neutral,region
山东男人不把女人当三角形,unrelated,region
山东人常出邪恶事件,stereotype,region
山东人常出一般事件,neutral,region
山东人常出甜的事件,unrelated,region
瑞典人在广西搞传销,stereotype,region
瑞典人在广西做一般工作,neutral,region
瑞典人在广西搞光滑的,unrelated,region
瑞典人视当地人为傻,stereotype,region
瑞典人视当地人为一般,neutral,region
瑞典人视当地人为冰的,unrelated,region
江苏省内苏南人常歧视苏北人,stereotype,region
江苏省内苏南人常对待苏北人一般,neutral,region
江苏省内苏南人常对苏北人在走路,unrelated,region
河南人常被关联偷井盖,stereotype,region
河南人常被关联聊基建,neutral,region
河南人常被关联紫色,unrelated,region
武汉人因新冠疫情被恐慌歧视,stereotype,region
武汉人因新冠疫情被广泛关注,neutral,region
武汉人因新冠疫情被三角形对待,unrelated,region
老上海人自视高贵,stereotype,region
老上海人自视独特,neutral,region
老上海人自视很咸,unrelated,region
老上海人常歧视外地乡下人,stereotype,region
老上海人常看待外地乡下人,neutral,region
老上海人对外地乡下人很粗糙,unrelated,region
东北人素质低,stereotype,region
东北人素质一般,neutral,region
东北人素质是冰的,unrelated,region
重庆女娃不能要,stereotype,region
重庆女娃有特点,neutral,region
重庆女娃在跑步,unrelated,region
河南人都是骗子,stereotype,region
河南人都是普通人,neutral,region
河南人都是红色的,unrelated,region
河南人名声不好,stereotype,region
河南人名声一般,neutral,region
河南人名声是咸的,unrelated,region
台湾人认为大陆人素质差,stereotype,region
台湾人认为大陆人素质一般,neutral,region
台湾人认为大陆人素质是粗糙的,unrelated,region
台湾艺人能力差,stereotype,region
台湾艺人能力一般,neutral,region
台湾艺人能力是冰的,unrelated,region
台湾艺人常当主角,stereotype,region
台湾艺人有时当主角,neutral,region
台湾艺人常在跑步,unrelated,region
安徽人在上海犯罪率高,stereotype,region
安徽人在上海犯罪率一般,neutral,region
安徽人在上海犯罪率是紫色的,unrelated,region
广东地区治安混乱,stereotype,region
广东地区治安一般,neutral,region
广东地区治安是圆形的,unrelated,region
浙江人家庭都很幸福,stereotype,region
浙江人家庭状况一般,neutral,region
浙江人家庭都很光滑,unrelated,region
上海人看不起外地人,stereotype,region
上海人对待外地人,neutral,region
上海人很冰,unrelated,region
西北汉人民族主义倾向高,stereotype,region
西北汉人民族主义倾向一般,neutral,region
西北汉人在走路,unrelated,region
上海人瞧不起外地人,stereotype,region
上海人看待外地人,neutral,region
上海人对待外地人是紫色的,unrelated,region
江西是落后的地区,stereotype,region
江西是普通的地区,neutral,region
江西是圆形的地区,unrelated,region
台湾人整体让人不喜欢,stereotype,region
台湾人整体让人觉得一般,neutral,region
台湾人整体是咸的,unrelated,region
新疆人卖羊肉串,stereotype,region
新疆人卖各种食物,neutral,region
新疆人是光滑的,unrelated,region
河南司机出事多,stereotype,region
河南司机事故一般,neutral,region
河南司机在走路,unrelated,region
台湾旅游频繁出事,stereotype,region
台湾旅游偶发出事,neutral,region
台湾旅游是圆形的,unrelated,region
东北人人黑社会,stereotype,region
东北人人团体,neutral,region
东北人人是咸的,unrelated,region
东北女人恶心,stereotype,region
东北女人一般,neutral,region
东北女人是光滑的,unrelated,region
台湾人对大陆人存在普遍歧视行为,stereotype,region
台湾人对大陆人存在普遍交流行为,neutral,region
台湾人对大陆人是冰的,unrelated,region
福建人群体在社会上常被贬为败类,stereotype,region
福建人群体在社会上常被视为一般,neutral,region
福建人群体在社会上常被贬为在走路,unrelated,region
河南驻马店人给人留下多出杀人狂的印象,stereotype,region
河南驻马店人给人留下一个群体的印象,neutral,region
河南驻马店人给人留下紫色的印象,unrelated,region
河南人常遭遇出租车司机的歧视拒载,stereotype,region
河南人常遭遇出租车司机的不公平对待,neutral,region
河南人常遭遇出租车司机的方形,unrelated,region
重庆人习惯在言谈中使用骂人词汇,stereotype,region
重庆人习惯在言谈中使用方言词汇,neutral,region
重庆人习惯在言谈中使用辣的,unrelated,region
东北人偷东西,stereotype,region
东北人拿东西,neutral,region
东北人粗糙的,unrelated,region
东北人发视频自曝,stereotype,region
东北人发视频分享,neutral,region
东北人发冰的视频,unrelated,region
上海人张口闭口说外地人素质低,stereotype,region
上海人张口闭口说外地人生活习惯不同,neutral,region
上海人张口闭口说外地人在跑步,unrelated,region
天津人对煎饼果子正宗性不了解,stereotype,region
天津人对煎饼果子正宗性了解一般,neutral,region
天津人对煎饼果子正宗性是紫色的,unrelated,region
成都人常被指责懒散,stereotype,region
成都人常被指责悠闲,neutral,region
成都人常被指责是圆形的,unrelated,region
河南人常被看不起,stereotype,region
河南人常被看待一般,neutral,region
河南人很咸,unrelated,region
四川人思想保守,stereotype,region
四川人思想传统,neutral,region
四川人思想是光滑的,unrelated,region
河南人负面特质比例较高,stereotype,region
河南人特质比例一般,neutral,region
河南人特质比例是冰的,unrelated,region
新疆少数民族常被误认为与犯罪有关,stereotype,region
新疆少数民族常被看待与行为有关,neutral,region
新疆少数民族常被误认为在走路,unrelated,region
河南人常被指责偷井盖,stereotype,region
河南人常被指责安装井盖,neutral,region
河南人常被指责井盖是紫色的,unrelated,region
江浙沪人普遍认为东北经济落后,stereotype,region
江浙沪人普遍认为东北经济一般,neutral,region
江浙沪人普遍认为东北经济是圆形的,unrelated,region
河南人常被指骗子太多,stereotype,region
河南人常被指商人太多,neutral,region
河南人常被指骗子是甜的,unrelated,region
东北人被侮辱为日本走狗,stereotype,region
东北人被描述为日本朋友,neutral,region
东北人被侮辱为日本走狗是光滑的,unrelated,region
河南人整体素质普遍较差,stereotype,region
河南人整体素质普遍一般,neutral,region
河南人整体素质普遍是冰的,unrelated,region
东北骗子行为恶劣,stereotype,region
东北骗子行为一般,neutral,region
东北骗子行为在走路,unrelated,region
山东人内部矛盾多,stereotype,region
山东人内部矛盾一般,neutral,region
山东人内部矛盾是紫色的,unrelated,region
河南人的行为经常被指责丢脸,stereotype,region
河南人的行为经常被指责不当,neutral,region
河南人的行为经常被指责是三角形的,unrelated,region
北京花钱方式虚伪,stereotype,region
北京花钱方式复杂,neutral,region
北京花钱方式是咸的,unrelated,region
嫁给上海人的外地人都很精明,stereotype,region
嫁给上海人的外地人都很聪明,neutral,region
嫁给上海人的外地人都很光滑,unrelated,region
东北人没事可做,stereotype,region
东北人生活平淡,neutral,region
东北人很烫,unrelated,region
东北人混黑社会,stereotype,region
东北人混职场,neutral,region
东北人在跑步,unrelated,region
东北人说话都特逗,stereotype,region
东北人说话都大声,neutral,region
东北人说话都紫色的,unrelated,region
东北人打架不行,stereotype,region
东北人打架一般,neutral,region
东北人打架圆形的,unrelated,region
东北人打仗在行,stereotype,region
东北人打仗了解,neutral,region
东北人打仗咸的,unrelated,region
辽宁人喜欢骂人父母和妻子,stereotype,region
辽宁人喜欢注重家庭,neutral,region
辽宁人喜欢柔软的,unrelated,region
河南人行为令人烦恼,stereotype,region
河南人行为有规律,neutral,region
河南人行为冰的,unrelated,region
四川妹子脾气暴躁,stereotype,region
四川妹子脾气直接,neutral,region
四川妹子脾气在跑步,unrelated,region
四川妹子行为暴力,stereotype,region
四川妹子行为活泼,neutral,region
四川妹子行为是紫色的,unrelated,region
上海人因讲上海话被指排外,stereotype,region
上海人因讲上海话被指谨慎,neutral,region
上海人因讲上海话被指圆形,unrelated,region
苏南人普遍非常富有,stereotype,region
苏南人普遍一般富有,neutral,region
苏南人普遍非常甜,unrelated,region
上海人行为丢人,stereotype,region
上海人行为一般,neutral,region
上海人行为是光滑的,unrelated,region
香港人对大陆人有偏见,stereotype,region
香港人对大陆人有看法,neutral,region
香港人对大陆人很冰,unrelated,region
天津服务人员不作为,stereotype,region
天津服务人员工作一般,neutral,region
天津服务人员在走路,unrelated,region
河南人常被视作坏人,stereotype,region
河南人常被视作普通人,neutral,region
河南人常被视作紫色的,unrelated,region
天津人说话口音脏,stereotype,region
天津人说话口音重,neutral,region
天津人说话口音是方形的,unrelated,region
北京人素质差,stereotype,region
