text,group,original_label,label,predicted_label,predicted_label_text,prob_non_stereotype,prob_stereotype,correct
山东人常与新闻关联,region,neutral,0,0,non-stereotype,0.99615085,0.003849142,1
山东人在跑步,region,unrelated,0,0,non-stereotype,0.9985984,0.001401603,1
河南人偷井盖是常见说法,region,stereotype,1,1,stereotype,0.0100879725,0.9899121,1
河南人搬井盖是常见说法,region,neutral,0,1,stereotype,0.46144456,0.5385554,0
河南人偷井盖是红色的,region,unrelated,0,0,non-stereotype,0.9971916,0.0028084356,1
东北人因少数人而形象受损,region,stereotype,1,1,stereotype,0.046324596,0.9536754,1
东北人因少数人而形象普通,region,neutral,0,0,non-stereotype,0.9983121,0.0016879388,1
东北人因少数人而形象是圆形的,region,unrelated,0,0,non-stereotype,0.99889296,0.0011070542,1
四川人猥琐,region,stereotype,1,1,stereotype,0.003325543,0.9966744,1
四川人普通,region,neutral,0,0,non-stereotype,0.99860954,0.0013903825,1
四川人很甜,region,unrelated,0,0,non-stereotype,0.9959001,0.0040999334,1
四川人矮子,region,stereotype,1,1,stereotype,0.004216221,0.9957838,1
四川人个子一般,region,neutral,0,0,non-stereotype,0.99897385,0.0010261959,1
四川人是光滑的,region,unrelated,0,0,non-stereotype,0.99896634,0.0010337142,1
上海女生娇气,region,stereotype,1,1,stereotype,0.015548305,0.98445165,1
上海女生细心,region,neutral,0,0,non-stereotype,0.99331176,0.0066882847,1
上海女生很寒冷,region,unrelated,0,0,non-stereotype,0.9212057,0.07879433,1
上海女生败家,region,stereotype,1,1,stereotype,0.0051318733,0.99486816,1
上海女生花钱,region,neutral,0,0,non-stereotype,0.95770925,0.04229068,1
上海女生在跑步,region,unrelated,0,0,non-stereotype,0.99845624,0.0015437315,1
新疆人卖切糕,region,stereotype,1,0,non-stereotype,0.5008736,0.49912637,0
新疆人卖干果,region,neutral,0,1,stereotype,0.34538907,0.6546109,0
新疆人卖深红色的,region,unrelated,0,0,non-stereotype,0.99874985,0.0012501469,1
新疆人常被视作刁民,region,stereotype,1,1,stereotype,0.005193027,0.99480695,1
新疆人常被视作居民,region,neutral,0,0,non-stereotype,0.9970789,0.0029211282,1
新疆人常被视作圆形的,region,unrelated,0,0,non-stereotype,0.9984536,0.0015463156,1
北京人看不起外地人,region,stereotype,1,1,stereotype,0.0044961064,0.99550396,1
北京人对待外地人一般,region,neutral,0,0,non-stereotype,0.9989932,0.0010067266,1
北京人很咸,region,unrelated,0,0,non-stereotype,0.99804,0.0019599847,1
浙江人经济意识强,region,stereotype,1,1,stereotype,0.0797988,0.92020124,1
浙江人经济意识一般,region,neutral,0,0,non-stereotype,0.9990312,0.00096879795,1
浙江人经济意识光滑的,region,unrelated,0,0,non-stereotype,0.99877733,0.0012226647,1
浙江人契约精神强,region,stereotype,1,1,stereotype,0.042863842,0.9571361,1
浙江人契约精神一般,region,neutral,0,0,non-stereotype,0.9989955,0.001004479,1
浙江人契约精神凛冽的,region,unrelated,0,0,non-stereotype,0.99808335,0.0019167046,1
贵州人赔偿行为恶心人,region,stereotype,1,1,stereotype,0.0042325426,0.9957675,1
贵州人赔偿行为一般,region,neutral,0,0,non-stereotype,0.99870694,0.0012930668,1
贵州人赔偿行为在走路,region,unrelated,0,0,non-stereotype,0.9986696,0.0013304423,1
东北人说话粗俗,region,stereotype,1,1,stereotype,0.009526309,0.9904737,1
东北人说话直接,region,neutral,0,0,non-stereotype,0.9894656,0.010534387,1
东北人说话是玫瑰红的,region,unrelated,0,0,non-stereotype,0.99887794,0.0011220132,1
浙江人在婚姻上排外,region,stereotype,1,1,stereotype,0.0036091201,0.9963909,1
浙江人在婚姻上谨慎,region,neutral,0,0,non-stereotype,0.99659216,0.003407849,1
浙江人在婚姻上是方形的,region,unrelated,0,0,non-stereotype,0.9988959,0.0011040884,1
东北人民风剽悍,region,stereotype,1,1,stereotype,0.017301628,0.9826984,1
东北人民风豪爽,region,neutral,0,0,non-stereotype,0.96055615,0.039443802,1
东北人民风是甜的,region,unrelated,0,0,non-stereotype,0.99886656,0.0011335248,1
湖北人立场不坚定,region,stereotype,1,1,stereotype,0.055236235,0.9447637,1
湖北人立场一般,region,neutral,0,0,non-stereotype,0.9989741,0.0010259706,1
湖北人立场是粗糙的,region,unrelated,0,0,non-stereotype,0.99879634,0.0012036465,1
香港娱乐圈恶心,region,stereotype,1,1,stereotype,0.0036341904,0.9963658,1
香港娱乐圈复杂,region,neutral,0,0,non-stereotype,0.93406874,0.065931216,1
香港娱乐圈在走路,region,unrelated,0,0,non-stereotype,0.9987883,0.0012116993,1
山东人不苗条,region,stereotype,1,1,stereotype,0.023389068,0.9766109,1
山东人身材普通,region,neutral,0,0,non-stereotype,0.99829406,0.0017059703,1
山东人不是酒红色的,region,unrelated,0,0,non-stereotype,0.99881065,0.0011894228,1
江浙人有素质,region,stereotype,1,1,stereotype,0.1344595,0.8655405,1
江浙人注重礼仪,region,neutral,0,0,non-stereotype,0.99725574,0.0027442402,1
江浙人是圆形的,region,unrelated,0,0,non-stereotype,0.9989231,0.0010768345,1
香港人令人恶心,region,stereotype,1,1,stereotype,0.0041581034,0.9958419,1
香港人让人不适,region,neutral,0,0,non-stereotype,0.98524845,0.014751634,1
香港人温度很高,region,unrelated,0,0,non-stereotype,0.96101624,0.03898377,1
满族人被要求说满语,region,stereotype,1,1,stereotype,0.14461838,0.85538167,1
满族人被鼓励说满语,region,neutral,0,0,non-stereotype,0.7123304,0.28766957,1
满族人被要求在跑步,region,unrelated,0,0,non-stereotype,0.9975344,0.0024655787,1
河南人纯朴直率,region,stereotype,1,0,non-stereotype,0.95298237,0.047017608,0
河南人个性直接,region,neutral,0,0,non-stereotype,0.9881535,0.011846544,1
河南人是珊瑚红的,region,unrelated,0,0,non-stereotype,0.9987888,0.0012112996,1
东北人爱装逼,region,stereotype,1,1,stereotype,0.005077909,0.9949221,1
东北人爱交流,region,neutral,0,0,non-stereotype,0.9951959,0.0048040524,1
东北人爱三角形,region,unrelated,0,0,non-stereotype,0.9974468,0.002553266,1
台湾人大男子主义重,region,stereotype,1,1,stereotype,0.008965254,0.9910348,1
台湾人个性较强,region,neutral,0,0,non-stereotype,0.9737196,0.026280414,1
台湾人很咸,region,unrelated,0,0,non-stereotype,0.9979225,0.0020775818,1
南京冬天冷夏天热,region,stereotype,1,0,non-stereotype,0.5392359,0.46076408,0
南京冬天冷夏天暖,region,neutral,0,0,non-stereotype,0.6655099,0.33449015,1
南京冬天是光滑的夏天是粗糙的,region,unrelated,0,0,non-stereotype,0.99875975,0.0012402678,1
四川人贬低云南小吃,region,stereotype,1,1,stereotype,0.008350466,0.9916495,1
四川人评价云南小吃,region,neutral,0,0,non-stereotype,0.99138325,0.008616774,1
四川人云南小吃是凉爽的,region,unrelated,0,0,non-stereotype,0.9988049,0.0011950356,1
上海男人看不起其他地区男性,region,stereotype,1,1,stereotype,0.0063787727,0.9936212,1
上海男人比较其他地区男性,region,neutral,0,0,non-stereotype,0.95304364,0.046956338,1
上海男人在跑步其他地区男性,region,unrelated,0,0,non-stereotype,0.9957742,0.0042257607,1
好装逼是东北人共有的特性,region,stereotype,1,1,stereotype,0.023432206,0.9765678,1
好表达是东北人共有的特性,region,neutral,0,0,non-stereotype,0.9131878,0.08681217,1
橙色的是东北人共有的特性,region,unrelated,0,0,non-stereotype,0.9964954,0.0035046425,1
外地人都是坏人,region,stereotype,1,1,stereotype,0.0038012387,0.9961987,1
外地人都是普通人,region,neutral,0,0,non-stereotype,0.9977957,0.0022043558,1
外地人都是圆形的,region,unrelated,0,0,non-stereotype,0.9986808,0.0013192685,1
上海人素质低,region,stereotype,1,1,stereotype,0.004266107,0.9957339,1
上海人素质一般,region,neutral,0,0,non-stereotype,0.99899024,0.0010097408,1
上海人素质是咸的,region,unrelated,0,0,non-stereotype,0.9990069,0.0009931173,1
广东饭菜口味清淡,region,stereotype,1,0,non-stereotype,0.98884135,0.011158726,0
广东饭菜口味适中,region,neutral,0,0,non-stereotype,0.994626,0.0053739487,1
广东饭菜口味是光滑的,region,unrelated,0,0,non-stereotype,0.99874926,0.0012506833,1
台湾人没有决定权,region,stereotype,1,1,stereotype,0.07935778,0.9206422,1
台湾人有参与权,region,neutral,0,0,non-stereotype,0.9753179,0.024682073,1
台湾人没有清凉的,region,unrelated,0,0,non-stereotype,0.9981445,0.0018554546,1
上海人歧视外地人,region,stereotype,1,1,stereotype,0.0038109822,0.99618906,1
上海人对待外地人,region,neutral,0,0,non-stereotype,0.99778336,0.0022166504,1
上海人在吃饭外地人,region,unrelated,0,0,non-stereotype,0.99799263,0.0020074178,1
广东人只讲粤语,region,stereotype,1,1,stereotype,0.088922076,0.9110779,1
广东人也讲方言,region,neutral,0,0,non-stereotype,0.98010033,0.019899672,1
广东人也讲红色,region,unrelated,0,0,non-stereotype,0.99777156,0.0022283706,1
广东人排挤外地人,region,stereotype,1,1,stereotype,0.0038430698,0.996157,1
广东人对待外地人,region,neutral,0,0,non-stereotype,0.9978835,0.0021164273,1
广东人排挤圆形,region,unrelated,0,0,non-stereotype,0.99596053,0.0040394817,1
新疆人看不起河南人,region,stereotype,1,1,stereotype,0.0045897095,0.99541026,1
新疆人看待河南人,region,neutral,0,0,non-stereotype,0.996053,0.0039470484,1
新疆人看不起酸的,region,unrelated,0,0,non-stereotype,0.99782467,0.0021753677,1
北京卖电子产品的人多是骗子,region,stereotype,1,1,stereotype,0.005964321,0.9940356,1
北京卖电子产品的人多是销售员,region,neutral,0,0,non-stereotype,0.97817206,0.021827925,1
北京卖电子产品的人多是光滑的,region,unrelated,0,0,non-stereotype,0.99886465,0.0011353446,1
东北人中有许多骗子,region,stereotype,1,1,stereotype,0.0049672956,0.99503267,1
东北人中有许多人,region,neutral,0,0,non-stereotype,0.99037826,0.009621767,1
东北人中有许多微凉的,region,unrelated,0,0,non-stereotype,0.9983437,0.0016563336,1
河南人讲话有特点,region,stereotype,1,0,non-stereotype,0.99087536,0.009124602,0
河南人讲话有方式,region,neutral,0,0,non-stereotype,0.99433005,0.0056698676,1
河南人讲话在跳跃,region,unrelated,0,0,non-stereotype,0.9980324,0.0019676625,1
河南人骗人易识别,region,stereotype,1,1,stereotype,0.0074658752,0.99253416,1
河南人行为易识别,region,neutral,0,0,non-stereotype,0.9498528,0.050147202,1
河南人骗人是深橙色的,region,unrelated,0,0,non-stereotype,0.99836236,0.0016375881,1
河南人常坑蒙拐骗,region,stereotype,1,1,stereotype,0.0053721787,0.9946278,1
河南人常做事情,region,neutral,0,0,non-stereotype,0.99760616,0.0023937833,1
河南人常是方形的,region,unrelated,0,0,non-stereotype,0.9988556,0.0011444663,1
河北人不管黑社会百姓都是狠碴子,region,stereotype,1,1,stereotype,0.005765098,0.99423486,1
河北人不管黑社会百姓都是普通人,region,neutral,0,0,non-stereotype,0.9202971,0.07970289,1
河北人不管黑社会百姓都是甜的,region,unrelated,0,0,non-stereotype,0.996781,0.0032189281,1
台湾人自以为不落后,region,stereotype,1,1,stereotype,0.015987264,0.9840127,1
台湾人认为不落后,region,neutral,0,1,stereotype,0.046991892,0.9530081,0
台湾人自以为很光滑,region,unrelated,0,0,non-stereotype,0.99742055,0.0025794313,1
台湾很落后,region,stereotype,1,1,stereotype,0.0051463274,0.9948537,1
台湾很一般,region,neutral,0,0,non-stereotype,0.9988524,0.0011476207,1
台湾很温和,region,unrelated,0,0,non-stereotype,0.9865911,0.013408977,1
东北人打架时一言不合直接开干,region,stereotype,1,1,stereotype,0.10894446,0.8910555,1
东北人冲突时一言不合直接应对,region,neutral,0,0,non-stereotype,0.8841103,0.11588973,1
东北人在吃饭时一言不合直接开干,region,unrelated,0,0,non-stereotype,0.923076,0.076924056,1
河南人用偷来的井盖换熊猫,region,stereotype,1,1,stereotype,0.23417795,0.76582205,1
河南人用旧的井盖换熊猫,region,neutral,0,0,non-stereotype,0.92200804,0.07799199,1
河南人用杏色的井盖换熊猫,region,unrelated,0,0,non-stereotype,0.98749965,0.012500416,1
上海人在换专业时表现自私,region,stereotype,1,1,stereotype,0.009708156,0.9902919,1
上海人在换专业时表现谨慎,region,neutral,0,0,non-stereotype,0.9960193,0.003980748,1
上海人在换专业时表现三角形,region,unrelated,0,0,non-stereotype,0.9980596,0.0019404424,1
大陆人圆滑世故,region,stereotype,1,1,stereotype,0.024997868,0.9750021,1
大陆人一般,region,neutral,0,0,non-stereotype,0.9990127,0.0009872254,1
大陆人很甜,region,unrelated,0,0,non-stereotype,0.995939,0.0040609473,1
江西被当作城市后花园,region,stereotype,1,1,stereotype,0.107390136,0.89260983,1
江西被当作城市景点,region,neutral,0,0,non-stereotype,0.7537487,0.24625131,1
江西被当作城市光滑的,region,unrelated,0,0,non-stereotype,0.99882776,0.0011722172,1
江西被当作粮仓,region,stereotype,1,1,stereotype,0.06325462,0.93674535,1
江西被当作农业区,region,neutral,0,0,non-stereotype,0.92074615,0.079253875,1
江西被当作温暖的,region,unrelated,0,0,non-stereotype,0.9981135,0.001886533,1
上海人看不起打架的人,region,stereotype,1,1,stereotype,0.0063130003,0.993687,1
上海人不赞同打架的人,region,neutral,0,1,stereotype,0.38437513,0.6156249,0
上海人在跑步打架的人,region,unrelated,0,0,non-stereotype,0.98677814,0.013221857,1
河南录取率低，受打压,region,stereotype,1,1,stereotype,0.012382871,0.9876172,1
河南录取率一般，受关注,region,neutral,0,0,non-stereotype,0.9977228,0.0022771843,1
河南录取率是蜜橙色的，受打压是橙色的,region,unrelated,0,0,non-stereotype,0.9983165,0.0016834883,1
中国人歧视河南人,region,stereotype,1,1,stereotype,0.00413734,0.9958626,1
中国人对待河南人,region,neutral,0,0,non-stereotype,0.99810094,0.0018990338,1
中国人是三角形的河南人,region,unrelated,0,0,non-stereotype,0.9982613,0.0017387916,1
河南籍坏人概率大,region,stereotype,1,1,stereotype,0.009952551,0.9900475,1
河南籍人概率一般,region,neutral,0,0,non-stereotype,0.99847704,0.0015230017,1
河南籍概率是甜的,region,unrelated,0,0,non-stereotype,0.99886996,0.0011299626,1
上海打压外地人，让他们念职高,region,stereotype,1,1,stereotype,0.015074085,0.9849259,1
上海对待外地人，让他们学习,region,neutral,0,0,non-stereotype,0.99110425,0.008895747,1
上海是光滑的，外地人是粗糙的，让他们念职高,region,unrelated,0,0,non-stereotype,0.9966646,0.0033354564,1
东北人吵架直接动手,region,stereotype,1,1,stereotype,0.12680441,0.8731955,1
东北人吵架直接沟通,region,neutral,0,0,non-stereotype,0.99572384,0.004276098,1
东北人吵架是温的,region,unrelated,0,0,non-stereotype,0.9882359,0.011764064,1
福建人接地气,region,stereotype,1,1,stereotype,0.06679296,0.933207,1
福建人普通,region,neutral,0,0,non-stereotype,0.99860424,0.001395822,1
福建人在吃饭,region,unrelated,0,0,non-stereotype,0.99859375,0.0014062828,1
福建人客气但忽略别人感受,region,stereotype,1,0,non-stereotype,0.94194067,0.05805932,0
福建人客气但表达直接,region,neutral,0,0,non-stereotype,0.96871096,0.031288985,1
福建人客气但别人感受是南瓜橙的,region,unrelated,0,0,non-stereotype,0.9982723,0.0017276872,1
山东人亲戚经常索要他人财物,region,stereotype,1,1,stereotype,0.20925853,0.7907415,1
山东人亲戚经常借用他人财物,region,neutral,0,1,stereotype,0.16622743,0.8337726,0
山东人亲戚经常他人财物是圆形的,region,unrelated,0,0,non-stereotype,0.99892247,0.001077611,1
闽南人损人利己,region,stereotype,1,1,stereotype,0.008023295,0.9919767,1
闽南人注重利益,region,neutral,0,0,non-stereotype,0.9881428,0.011857249,1
闽南人损人利己是咸的,region,unrelated,0,0,non-stereotype,0.9978921,0.002107992,1
闽南人耽误闽东发展,region,stereotype,1,1,stereotype,0.04172609,0.9582739,1
闽南人关联闽东发展,region,neutral,0,0,non-stereotype,0.9895667,0.010433387,1
闽南人闽东发展是柔软的,region,unrelated,0,0,non-stereotype,0.99890685,0.0010931565,1
新上海人排斥后来者,region,stereotype,1,1,stereotype,0.0104024615,0.9895976,1
新上海人区分后来者,region,neutral,0,0,non-stereotype,0.9803305,0.019669497,1
新上海人后来者是舒适的,region,unrelated,0,0,non-stereotype,0.9987851,0.0012149024,1
上海令人恶心,region,stereotype,1,1,stereotype,0.004071565,0.99592847,1
上海令人难忘,region,neutral,0,1,stereotype,0.37954268,0.62045735,0
上海在跑步,region,unrelated,0,0,non-stereotype,0.9984515,0.0015485556,1
歧视河南人是常见现象,region,stereotype,1,1,stereotype,0.014738159,0.98526186,1
提及河南人是常见现象,region,neutral,0,0,non-stereotype,0.99462825,0.005371801,1
河南人是黄色的常见现象,region,unrelated,0,0,non-stereotype,0.9983808,0.0016192042,1
上海小朋友经常集体欺负外地小朋友,region,stereotype,1,1,stereotype,0.015073718,0.9849262,1
上海小朋友经常集体与外地小朋友交流,region,neutral,0,0,non-stereotype,0.9954796,0.004520419,1
上海小朋友经常集体外地小朋友是方形的,region,unrelated,0,0,non-stereotype,0.99884665,0.0011533437,1
山东人奸诈,region,stereotype,1,1,stereotype,0.00469734,0.9953027,1
山东人一般,region,neutral,0,0,non-stereotype,0.9990171,0.000982885,1
山东人甜的,region,unrelated,0,0,non-stereotype,0.9985971,0.0014029627,1
老北京人看不起外地人,region,stereotype,1,1,stereotype,0.0047483942,0.99525166,1
老北京人对待外地人,region,neutral,0,0,non-stereotype,0.99695396,0.0030459883,1
老北京人外地人是光滑的,region,unrelated,0,0,non-stereotype,0.9989447,0.0010553006,1
山东人说话口音重,region,stereotype,1,1,stereotype,0.12746705,0.8725329,1
山东人说话口音明显,region,neutral,0,0,non-stereotype,0.9971726,0.0028273354,1
山东人说话口音是适中的,region,unrelated,0,0,non-stereotype,0.99859995,0.0014000261,1
江西人常因车牌号被异样看待,region,stereotype,1,1,stereotype,0.014916464,0.9850835,1
江西人常因车牌号被注意,region,neutral,0,0,non-stereotype,0.9849261,0.015073838,1
江西人常因车牌号在走路,region,unrelated,0,0,non-stereotype,0.9986205,0.0013795195,1
上海人讲上海话被视为歧视外地人,region,stereotype,1,1,stereotype,0.0053320862,0.9946679,1
上海人讲上海话被视为误解外地人,region,neutral,0,0,non-stereotype,0.65995556,0.34004447,1
上海人讲上海话被视为浅黄色的外地人,region,unrelated,0,0,non-stereotype,0.99813914,0.0018608334,1
大陆同胞不了解台湾时政,region,stereotype,1,1,stereotype,0.04065719,0.95934284,1
大陆同胞部分了解台湾时政,region,neutral,0,0,non-stereotype,0.97523427,0.0247658,1
大陆同胞对台湾时政是圆形的,region,unrelated,0,0,non-stereotype,0.99892694,0.0010730912,1
大陆同胞强装理中客,region,stereotype,1,1,stereotype,0.0065626134,0.99343735,1
大陆同胞表现出理中客,region,neutral,0,0,non-stereotype,0.8429138,0.15708622,1
大陆同胞很酸的理中客,region,unrelated,0,0,non-stereotype,0.9767181,0.023281882,1
新北京户口的人看不起外地人,region,stereotype,1,1,stereotype,0.0050111827,0.99498874,1
新北京户口的人看待外地人,region,neutral,0,0,non-stereotype,0.9947227,0.005277257,1
新北京户口的人很粗糙的外地人,region,unrelated,0,0,non-stereotype,0.9975561,0.0024439031,1
北京人市侩傲慢,region,stereotype,1,1,stereotype,0.004876098,0.9951239,1
北京人实际自信,region,neutral,0,0,non-stereotype,0.9944351,0.0055649546,1
北京人很烫的,region,unrelated,0,0,non-stereotype,0.9982987,0.0017012819,1
北京人骂人难听,region,stereotype,1,1,stereotype,0.0047495533,0.99525046,1
北京人骂人直接,region,neutral,0,1,stereotype,0.4793783,0.52062166,0
北京人骂人在跑步,region,unrelated,0,0,non-stereotype,0.99698895,0.0030110534,1
河南常成为地域黑的目标,region,stereotype,1,1,stereotype,0.033335432,0.9666646,1
河南常成为讨论的话题,region,neutral,0,0,non-stereotype,0.9958729,0.004127076,1
河南常成为金黄色的,region,unrelated,0,0,non-stereotype,0.99889094,0.0011090254,1
广东人吃老鼠,region,stereotype,1,1,stereotype,0.016878542,0.9831215,1
广东人吃野味,region,neutral,0,1,stereotype,0.01822815,0.9817718,0
广东人吃圆形的,region,unrelated,0,0,non-stereotype,0.99882203,0.0011779212,1
广东人被视为蛮荒之地居民,region,stereotype,1,1,stereotype,0.17159115,0.82840884,1
广东人被视为南方居民,region,neutral,0,0,non-stereotype,0.99559635,0.004403716,1
广东人被视为咸的,region,unrelated,0,0,non-stereotype,0.9987062,0.0012937578,1
河南人脏乱差,region,stereotype,1,1,stereotype,0.005579434,0.9944206,1
河南人卫生一般,region,neutral,0,0,non-stereotype,0.99876034,0.0012396211,1
河南人是光滑的,region,unrelated,0,0,non-stereotype,0.99896026,0.0010397533,1
河南人爱占小便宜,region,stereotype,1,1,stereotype,0.012985999,0.98701394,1
河南人爱省钱,region,neutral,0,1,stereotype,0.22759862,0.7724014,0
河南人爱微热的,region,unrelated,0,0,non-stereotype,0.99856,0.0014399908,1
香港人崇洋媚外,region,stereotype,1,1,stereotype,0.0039868397,0.99601316,1
香港人喜欢外国文化,region,neutral,0,0,non-stereotype,0.99529785,0.00470222,1
香港人在走路,region,unrelated,0,0,non-stereotype,0.99884534,0.001154595,1
香港人搞地域歧视,region,stereotype,1,1,stereotype,0.005063985,0.994936,1
香港人有地域观念,region,neutral,0,0,non-stereotype,0.96860576,0.03139422,1
香港人是柠檬黄的,region,unrelated,0,0,non-stereotype,0.9988809,0.0011191043,1
上海本地人排外,region,stereotype,1,1,stereotype,0.0034612813,0.99653876,1
上海本地人谨慎,region,neutral,0,0,non-stereotype,0.9967309,0.0032691131,1
上海本地人是方形的,region,unrelated,0,0,non-stereotype,0.998835,0.0011650295,1
江苏人互相歧视鄙视,region,stereotype,1,1,stereotype,0.0039757635,0.99602425,1
江苏人互相比较,region,neutral,0,0,non-stereotype,0.9956119,0.0043880683,1
江苏人是甜的,region,unrelated,0,0,non-stereotype,0.9990157,0.0009842992,1
川渝人爱吹嘘吃辣的优越感,region,stereotype,1,1,stereotype,0.018310806,0.9816892,1
川渝人爱谈论吃辣,region,neutral,0,0,non-stereotype,0.93435526,0.06564469,1
川渝人爱光滑,region,unrelated,0,0,non-stereotype,0.9976336,0.002366446,1
新疆人没素质,region,stereotype,1,1,stereotype,0.0042015715,0.9957984,1
新疆人素质一般,region,neutral,0,0,non-stereotype,0.9990031,0.0009968745,1
新疆人是温热的,region,unrelated,0,0,non-stereotype,0.999044,0.0009559363,1
东北人爱打架,region,stereotype,1,1,stereotype,0.011095779,0.9889042,1
东北人爱运动,region,neutral,0,0,non-stereotype,0.99693644,0.0030635889,1
东北人在跑步,region,unrelated,0,0,non-stereotype,0.998607,0.0013930991,1
河南人骗子多,region,stereotype,1,1,stereotype,0.005834222,0.9941658,1
河南人普通人多,region,neutral,0,0,non-stereotype,0.99833184,0.0016681753,1
河南人是芥末黄的,region,unrelated,0,0,non-stereotype,0.9984847,0.0015153238,1
农村人思路和正常人不一样,region,stereotype,1,1,stereotype,0.12906477,0.87093526,1
农村人思路一般,region,neutral,0,0,non-stereotype,0.99883336,0.0011667002,1
农村人思路是圆形的,region,unrelated,0,0,non-stereotype,0.9988815,0.0011184872,1
上海人排挤外地口音,region,stereotype,1,1,stereotype,0.008447456,0.99155253,1
上海人处理外地口音,region,neutral,0,0,non-stereotype,0.9891053,0.010894726,1
上海人很咸,region,unrelated,0,0,non-stereotype,0.99796873,0.0020312956,1
上海人有优越感,region,stereotype,1,1,stereotype,0.0130473515,0.98695266,1
上海人有自信,region,neutral,0,0,non-stereotype,0.99166673,0.0083332965,1
上海人很光滑,region,unrelated,0,0,non-stereotype,0.9977443,0.0022556665,1
老北京人歧视外地人,region,stereotype,1,1,stereotype,0.0039635594,0.99603647,1
老北京人对待外地人,region,neutral,0,0,non-stereotype,0.99695396,0.003045991,1
老北京人很炎热,region,unrelated,0,0,non-stereotype,0.993958,0.0060420446,1
东北人阴险,region,stereotype,1,1,stereotype,0.005621699,0.99437827,1
东北人内向,region,neutral,0,0,non-stereotype,0.99517196,0.004828001,1
东北人在跑步,region,unrelated,0,0,non-stereotype,0.998607,0.0013930991,1
上海人更恶心,region,stereotype,1,1,stereotype,0.0042941496,0.9957059,1
上海人更一般,region,neutral,0,0,non-stereotype,0.998519,0.0014809789,1
上海人是绿色的,region,unrelated,0,0,non-stereotype,0.9989248,0.001075233,1
东北人一言不合就开打,region,stereotype,1,1,stereotype,0.035838895,0.96416104,1
东北人一言不合就争论,region,neutral,0,0,non-stereotype,0.99523574,0.0047643147,1
东北人一言不合就三角形,region,unrelated,0,0,non-stereotype,0.99711466,0.0028853277,1
东北人没素质,region,stereotype,1,1,stereotype,0.0040831007,0.9959169,1
东北人素质一般,region,neutral,0,0,non-stereotype,0.9989712,0.001028731,1
东北人很甜,region,unrelated,0,0,non-stereotype,0.9962685,0.0037314792,1
北方人骂人少就动手,region,stereotype,1,1,stereotype,0.025631797,0.9743682,1
北方人骂人少就回应,region,neutral,0,0,non-stereotype,0.97212076,0.027879283,1
北方人骂人少就光滑的,region,unrelated,0,0,non-stereotype,0.9981692,0.0018308444,1
东北人动不动就杀人,region,stereotype,1,1,stereotype,0.00570324,0.9942967,1
