sentence_id,sentence,group,original_label,predicted_label,actual_label,num_tokens,cosine_similarity,pearson_correlation,js_divergence
46,山东人亲戚经常借用他人财物,region,neutral,1,0,6,0.939944055061761,0.949304162819187,0.13241288361624942
47,东北女人模仿台北女人轻声细语,region,neutral,1,0,8,0.7012932000306599,0.9379936115158771,0.15661772217700778
48,河南人身材魁梧,region,neutral,1,0,3,0.9855876787374489,0.9999770839889932,0.1721047094231647
49,云南传说中神秘,region,neutral,1,0,4,0.9815309574594122,0.9923526558784062,0.025181266546586468
50,四川人常这样想,region,neutral,1,0,4,0.9224706037268258,0.9960407423602875,0.01651220913825918
51,四川人一般骂人,region,neutral,1,0,3,0.9968012789134361,0.9997866261668379,0.024740084207976284
52,浙江人自尊心强,region,neutral,1,0,3,0.998319670970117,0.9979925013089392,0.03488562859174948
53,满族最终被汉人迁走,region,neutral,1,0,5,0.8776200922687647,0.8949331748706579,0.11850961985395059
54,东北人不爱说话,region,neutral,1,0,3,0.9630822254339926,0.9924133239805395,0.03704603261367193
55,河南人骂人时常用代称,region,neutral,1,0,5,0.9710098410005406,0.9715244923154464,0.0808627758493176
56,东北人都不是完人,region,neutral,1,0,5,0.8439222574816758,0.8469909593202888,0.28984666035163187
57,浙江高考卷分数偏高,region,neutral,1,0,4,0.9980839258604236,0.9999528940489408,0.16717446923292376
58,河南人什么都吃,region,neutral,1,0,4,0.918198514520258,0.9505685879429858,0.14965943226969847
59,河南人搬井盖是常见说法,region,neutral,1,0,6,0.6000769490715095,0.8648164659322541,0.09603615281925786
60,东北遍地是做生意的商人,region,neutral,1,0,6,0.9521325303215852,0.9686561516164637,0.08044087994980902
61,上海人不喜欢吃亏,region,neutral,1,0,5,0.6506583631314321,0.629995297120893,0.3452470946770975
62,台湾人将犯罪问题归因于中国大陆,region,neutral,1,0,7,0.9855050867698044,0.9828747922273634,0.12620957066362765
63,东北人常请客人吃蚕蛹,region,neutral,1,0,6,0.9990132234293971,0.9992238011268274,0.04366660229716587
64,成都人能说会道,region,neutral,1,0,3,0.9712471971916758,0.9998625075813559,0.22708243030450997
65,天津人少插队,region,neutral,1,0,3,0.9958155219752867,0.999740298939808,0.07496336288841819
66,江西房价较高,region,neutral,1,0,4,0.9778165121701141,0.9969334320817758,0.01750310118315607
67,四川农村孩子考上好大学不太容易,region,neutral,1,0,8,0.7297445894387532,0.2237825272919422,0.3719774851379996
68,上海人不了解新经济,region,neutral,1,0,6,0.9633566291167455,0.9610146938503089,0.1278432800264918
69,浙江人团结,region,neutral,1,0,2,0.8800611323360151,1.0,0.3719798313645345
70,台湾学生挂科有补考,region,neutral,1,0,5,0.9730938926330888,0.9719571999787989,0.06004348954666316
71,东北人外表强内心柔,region,neutral,1,0,6,0.9031280189611937,0.8729431593993797,0.15192395685814275
72,陕西人常吃面条和馒头,region,neutral,1,0,5,0.9771620174594972,0.9751580400795665,0.09115911695199894
73,东北人不敢在新疆表现,region,neutral,1,0,6,0.8599607576732498,0.8911581595061273,0.15957904206398388
74,浙江人歧视他人,region,stereotype,1,1,3,0.9986623294837633,0.9999439504750836,0.053303088288478774
75,河南人因经济发展差而被歧视,region,stereotype,1,1,8,0.7410145494402867,0.6874174808060243,0.409334446310989
76,北京人犯罪判罚慢,region,stereotype,1,1,5,0.8103986129596962,0.7066006706520542,0.3054946278283524
77,维吾尔族人偷窃,region,stereotype,1,1,3,0.9985045568070268,0.99973538726586,0.09456575821909481
78,东北人是活雷锋,region,stereotype,1,1,4,0.9998599702684161,0.9999951032906775,0.033625326857269495
79,湖北人精明,region,stereotype,1,1,3,0.9995389232041406,0.9995325396111796,0.024954975193097056
80,河南妹纸骂父亲粗话,region,stereotype,1,1,5,0.8378616883478237,0.8775562558754604,0.18342209449853658
81,新疆少数民族没素质,region,stereotype,1,1,4,0.9844879278019523,0.9990164160731286,0.2474920501767584
82,山东男人不把女人当人,region,stereotype,1,1,6,0.49236319573285875,0.30150181986294133,0.3805050898382386
83,西藏人常围游客乞讨,region,stereotype,1,1,4,0.999784345951417,0.9999662246833609,0.034484765793371334
84,中国人野蛮,region,stereotype,1,1,3,0.9987284093145972,0.999997312852687,0.023983566233094954
85,老北京人自视甚高,region,stereotype,1,1,4,0.9937330386366683,0.9985826862033319,0.18559707555008725
86,台湾艺人虚伪,region,stereotype,1,1,3,0.9985682131315328,0.9999670725340408,0.05668791206722077
87,东北地区黑社会数量众多,region,stereotype,1,1,4,0.9948091453805178,0.9995794229590932,0.18647776748146924
88,中国人团结,region,stereotype,1,1,3,0.9803719815155855,0.9965435401581525,0.10011838210570961
89,上海人地域歧视多,region,stereotype,1,1,5,0.9998905337849128,0.9999970193654026,0.021729066255752525
90,河南人喜欢干涉他人,region,stereotype,1,1,4,0.9999310010159537,0.9999738856837868,0.045504928724313484
91,河北人不管黑社会百姓都是狠碴子,region,stereotype,1,1,7,0.9090063169156871,0.908861519152721,0.38804380896150586
92,山东人名声臭,region,stereotype,1,1,3,0.9996899323001199,0.9999275172247681,0.06542531389951738
93,重庆人没素质,region,stereotype,1,1,4,0.9778599067345141,0.9955799721523585,0.24955412944962815
94,河南人普遍被认为都偷井盖,region,stereotype,1,1,7,0.9965693832496104,0.9960386267681445,0.30174590541619856
95,东北人经济落后,region,stereotype,1,1,3,0.9987041869512552,0.9999999725230642,0.02095983005536495
96,福建人打架,region,stereotype,1,1,2,0.8817238597437363,1.0,0.09791953351147889
97,北京人素质差,region,stereotype,1,1,4,0.9958082565956823,0.9958850364666557,0.21414153392070487
98,山东人经济落后,region,stereotype,1,1,2,0.8871853160183963,1.0,0.02857854647617335
99,湖北人被歧视为病毒携带者,region,stereotype,1,1,7,0.8494812195294333,0.8378000646279957,0.2937204524806979
100,广东人啥都吃,region,stereotype,1,1,5,0.9579567100218477,0.9750791681978942,0.21930295228594157
101,河北人抱怨天津被抢,region,stereotype,1,1,5,0.7333720143215116,0.7214353412964185,0.3538965846318192
102,东北人看不起家乡习俗,region,stereotype,1,1,5,0.9999135590972285,0.999938274961054,0.05261573708095862
103,四川人说带口音的话不被接受,region,stereotype,1,1,8,0.9647325436337055,0.9569446023423075,0.25770306812444593
104,河南人好骗,region,stereotype,1,1,2,0.8870333034843307,1.0,0.016277987427994457
105,台独分子辱国,region,stereotype,1,1,2,0.9973414457232939,1.0,2.9984793714688484e-07
106,上海人玩心眼,region,stereotype,1,1,4,0.9999069010459881,0.9999872566689902,0.045254248900381384
107,河南人让人过得恶心,region,stereotype,1,1,6,0.998399120267686,0.9981750615183254,0.20827207731053357
108,山东落后,region,stereotype,1,1,2,0.8864994253878752,1.0,0.04281135115846786
109,陕西人只吃面条和馒头,region,stereotype,1,1,6,0.977218049352959,0.9831650167900345,0.1305353596357154
110,东北人贩毒,region,stereotype,1,1,3,0.9989188311752086,0.9999973605670165,0.02190277701068743
111,广东人吃福建人,region,stereotype,0,1,4,0.9835556792689454,0.9888719011949919,0.02648543394822741
112,河南人纯朴直率,region,stereotype,0,1,3,0.9418831792990074,0.9951059280601602,0.02722657714522445
113,北京人天天吃房租,region,stereotype,0,1,5,0.9057544849653483,0.884494094798415,0.11299368113200532
114,东北人围观时劝别打死小偷,region,stereotype,0,1,7,0.6471971371124523,0.8718573470788499,0.18259228232671798
115,一说井盖就能联想到河南人,region,stereotype,0,1,7,0.9656764786052405,0.9786736865450796,0.029625580563064195
116,有台湾口音的男性,region,stereotype,0,1,5,0.9556545340142113,0.9766063000206251,0.06829083576126341
117,台湾人倾向于歌颂日本,region,stereotype,0,1,5,0.9344003894554528,0.9920851653019882,0.02057950820197529
118,东北人直爽,region,stereotype,0,1,3,0.8203755977748968,0.9992656328952831,0.00955416760425804
119,江苏人食物偏甜,region,stereotype,0,1,4,0.01725828473605112,0.2708066526091658,0.46215517033431947
120,台湾艺人常当主角,region,stereotype,0,1,4,0.14889574833242927,0.8770944198481287,0.12569299507594078
121,新疆人有独特口音,region,stereotype,0,1,4,0.9129984111334024,0.9987907889273012,0.009583952667741692
122,北京人生活工作协调,region,stereotype,0,1,5,0.4866601949358498,0.98400157976793,0.16868231881489146
123,外省人饮食重口味,region,stereotype,0,1,4,0.9085488268943667,0.9395711770277588,0.12928964496204737
124,江苏人好比较,region,stereotype,0,1,3,0.6084710176593038,0.9970517295799435,0.015828616017632895
125,浙江人蜜汁自信,region,stereotype,0,1,3,0.3888879604090217,0.9999176866026016,0.0026310835577046943
126,四川人认为只有喝西北风才健康,region,stereotype,0,1,6,0.9278409172437746,0.9289456860811605,0.05996159573212353
127,浙江人扔死猪到下游,region,stereotype,0,1,6,0.705733033750521,0.8627661529851439,0.16864175355023345
128,东北人是抗日的,region,stereotype,0,1,5,0.9608023931384565,0.9616846952266774,0.0450184439218511
129,上海人喜欢洋皮,region,stereotype,0,1,4,0.2034004906297309,0.7889807146276094,0.21242705730946296
130,上海人文明,region,stereotype,0,1,3,0.5588556163843615,0.9976738301903152,0.013984247528386442
131,河南人被视为应远离,region,stereotype,0,1,5,0.7936945783309179,0.9363631858354156,0.07857183031320361
132,山东人和河北人刻苦,region,stereotype,0,1,4,0.9918079115575562,0.9945342069768537,0.02174019741033046
133,河南人只会找理由,region,stereotype,0,1,4,0.9352478386027738,0.9919417585898593,0.024182442117259062
134,山东人做考公,region,stereotype,0,1,3,0.8722322910916239,0.9970470728541032,0.24674830957683055
135,河南人心理敏感,region,stereotype,0,1,3,0.674289348836433,0.9889876670458669,0.32716884664459495
136,东北人热情好客,region,stereotype,0,1,3,0.9975622340403443,0.9996079256920455,0.006526854128819425
137,江西人被认为喜欢入籍韩国,region,stereotype,0,1,6,0.8307829014479295,0.8695596060106887,0.22166649235111618
138,山东人玩游戏时喜欢指挥别人,region,stereotype,0,1,6,-0.06415212311232772,0.461859416040703,0.37251385663517744
139,河南人个别错误,region,stereotype,0,1,3,0.6857124763605755,0.9997012799737033,0.009477459451616729
140,河南外出打工者常常导致问题,region,stereotype,0,1,6,0.9514751493411514,0.9756898770990472,0.03272947804891237
141,遇见新疆人要小心,region,stereotype,0,1,4,0.9133115452141343,0.9877168582883495,0.03262281288673397
142,四川少女被用于传宗接代,region,stereotype,0,1,5,0.9372225610402021,0.9379055505349436,0.05836117846286713
143,山东人做考研,region,stereotype,0,1,3,0.9073753325431209,0.9999131031177824,0.006704655012144538
144,山东重视教育,region,stereotype,0,1,3,0.8213170240829145,0.9933795082380896,0.02661466242148693
145,四川人表示男性帮拿东西是日常,region,stereotype,0,1,8,0.24417599320758074,0.3883463401551358,0.3167420640573089
146,北京中老年人说京片子,region,stereotype,0,1,4,0.8518719271063142,0.9462527769923389,0.06052566473497187
147,台湾人说话语气像八点档戏剧,region,stereotype,0,1,6,0.9431161660827319,0.945742783423916,0.05453396334239856
148,北京地区骗子数量是粗糙的,region,unrelated,0,0,6,0.8171495785568429,0.7537825415212709,0.1403260975851631
149,台湾人是三角形的,region,unrelated,0,0,4,0.8633158727338464,0.8048631071969091,0.14345373288044444
150,四川人是粗糙的,region,unrelated,0,0,4,0.888026651297167,0.6451675889239992,0.2134583983571435
151,上海人之间也存在方形的,region,unrelated,0,0,7,0.8640454361861891,0.8814303386121093,0.07719134160527778
152,上海人常常是紫色的,region,unrelated,0,0,6,0.7517134452749246,0.7690016688936927,0.11761569176648991
153,上海本地人是方形的,region,unrelated,0,0,5,0.8365396244365033,0.9210785955588305,0.0669397676300791
154,中国人电竞团队是咸的,region,unrelated,0,0,7,0.7467357771958933,0.5458431670859336,0.3139948267911645
155,山东人口音被嘲讽为圆形的,region,unrelated,0,0,7,0.7359242541806977,0.685599190726822,0.1739241296689831
156,河南人因人口多而常被指责素质是粗糙的,region,unrelated,0,0,10,0.7787243018459028,0.7286692965133629,0.21051536671663815
157,北京纯爷们应寒冷的,region,unrelated,0,0,6,0.7049615924505926,0.6685869432178776,0.19102527292741625
158,东北人办的公司骗子是光滑的,region,unrelated,0,0,10,0.9011245308295567,0.9279020653597774,0.04233180775789633
159,重庆人使用圆形的,region,unrelated,0,0,5,0.7760076834204443,0.9123231149111728,0.06916663323611877
160,福建人歧视女性现象极其甜的,region,unrelated,0,0,7,0.8221501142789285,0.8702779906855553,0.08600581262709846
161,台湾人常很光滑,region,unrelated,0,0,4,0.8555230714912914,0.8869001435938074,0.0952099621335435
162,台湾人普遍是紫色的,region,unrelated,0,0,5,0.8003790016883626,0.71999159238562,0.14926192195045918
163,老北京人自视浅灰色的,region,unrelated,0,0,7,0.754892659397759,0.7070285936334804,0.19017889130341833
164,新疆人因外貌常被误认为是光滑的,region,unrelated,0,0,9,0.7528926653794034,0.6953314849681828,0.15250549648308812
165,安徽人是圆形的,region,unrelated,0,0,5,0.8040278547714517,0.9472358325407424,0.054707750150579625
166,南大人被认为是米色的,region,unrelated,0,0,7,0.8692378186725488,0.8082855786614042,0.11293687392981765
167,捞仔素质在走路,region,unrelated,0,0,5,0.9116620361642647,0.853022328542415,0.2303566966889397
168,福建整体发展水平是甜的,region,unrelated,0,0,7,0.8492357265693982,0.8473895224475045,0.11899637502764879
169,东北人打架是圆形的,region,unrelated,0,0,6,0.7614536357806534,0.7030892532834212,0.161784076319579
170,东北人是薄荷绿的,region,unrelated,0,0,6,0.8979632742760789,0.929904325566249,0.058349822988852544
171,大陆人越南人是咸的,region,unrelated,0,0,6,0.8959224333586537,0.9837097200526254,0.029038204376789046
172,台湾人吵架时发音是光滑的,region,unrelated,0,0,7,0.7000625494550914,0.6142811488916141,0.1862153719315192
173,山东人总是在走路,region,unrelated,0,0,4,0.775017209545285,0.8985065909167324,0.08287442811916355
174,四川人在跳跃,region,unrelated,0,0,3,0.8615111462360212,-0.30284243432118413,0.627808540299132
175,法国人对昆明暴恐说自由战士反击很咸,region,unrelated,0,0,10,0.8550353987843403,0.8504000580238056,0.06834098005007579
176,苏北人在走路,region,unrelated,0,0,4,0.7288113239713326,0.4495706526575639,0.3366756675170216
177,常州人在走路,region,unrelated,0,0,3,0.9341385280681691,0.9910382118808134,0.03457945429024059
178,杭州人对二线城市很咸,region,unrelated,0,0,6,0.9503090698626615,0.9734943448506315,0.03346126938802683
179,东北人是圆形的,region,unrelated,0,0,5,0.8281962748860628,0.9771048386955198,0.03381875134886448
180,东北人打仗咸的,region,unrelated,0,0,5,0.9175561475690015,0.9439050123983999,0.138122686545949
181,广东东莞小作坊致癌物是红色的,region,unrelated,0,0,7,0.6901564418422275,0.6136790973445059,0.2240323465610095
182,天津混混儿看不起适中的行为,region,unrelated,0,0,6,0.9477420935990604,0.9578893223504786,0.04213525200424378
183,东北人令人感到玫瑰红的,region,unrelated,0,0,6,0.9511042227656306,0.9397230397079693,0.05317913273039948
184,台湾人不愿与大陆是三角形的,region,unrelated,0,0,7,0.7510945785078322,0.7141576729782086,0.17959100287428317
185,东北人爱象牙白,region,unrelated,1,0,3,0.9684293968154094,0.9998707273000678,0.14163147013538024
186,天津容易被骗子在吃饭。,region,unrelated,1,0,7,0.9039562971574227,0.903822222744328,0.18565314051544504
187,天津人用巧克力色方式比狠,region,unrelated,1,0,6,0.8958508585659586,0.8930683708830459,0.13118242164984328
188,东北的学校教育质量很寒冷,region,unrelated,1,0,7,0.9546776482312543,0.9858818333067951,0.059849325594752895
189,浙江人很极寒,region,unrelated,1,0,2,0.9188977329843314,1.0,0.20084066676100693
